Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Forward wing,0.276956,0.269014,0.002293,0.002257
Aft wing,0.384142,0.382621,0.003826,0.003826
Electronics blister,0.015179,0.009799,0.000131,0.000086
StackGeom,0.025929,0.021608,0.000153,0.000129
Vertical stabilizer,0.032715,0.027587,0.000123,0.000105
Engine nacelle,0.006685,0.005459,0.000041,0.000034
Totals,0.741606,0.716088,0.006568,0.006445
